t,o,h,l,c,v
1763505900000.0,3123.47,3127.15,3119.0,3125.55,1563.8428
1763506800000.0,3125.55,3126.45,3107.56,3112.21,3396.7242
1763507700000.0,3112.21,3119.59,3110.7,3118.53,1908.5875
1763508600000.0,3118.53,3123.29,3116.83,3120.69,985.4713
1763509500000.0,3120.68,3126.08,3114.1,3123.66,774.0996
1763510400000.0,3123.65,3124.17,3101.58,3103.43,3733.38
1763511300000.0,3103.43,3105.13,3077.88,3092.86,10035.445
1763512200000.0,3092.85,3108.95,3086.13,3105.48,3276.8125
1763513100000.0,3105.47,3109.24,3099.64,3100.64,2259.5678
1763514000000.0,3100.64,3101.58,3085.26,3089.39,5176.5217
1763514900000.0,3089.39,3116.28,3087.0,3111.26,4185.2571
1763515800000.0,3111.26,3111.81,3099.29,3107.0,2805.4928
1763516700000.0,3107.0,3107.92,3095.17,3105.1,2600.2539
1763517600000.0,3105.1,3119.65,3097.88,3118.67,2490.8518
1763518500000.0,3118.67,3125.54,3105.06,3115.08,3660.0171
1763519400000.0,3115.07,3125.24,3111.71,3114.02,1915.3295
1763520300000.0,3114.01,3125.0,3112.23,3113.93,1960.9007
1763521200000.0,3113.94,3118.33,3103.41,3106.04,2176.4205
1763522100000.0,3106.03,3106.03,3091.37,3092.49,3780.4191
1763523000000.0,3092.49,3092.49,3070.57,3079.09,9631.2957
1763523900000.0,3079.08,3081.5,3069.59,3073.02,5566.3132
1763524800000.0,3073.01,3076.83,3062.46,3069.22,4908.5408
1763525700000.0,3069.22,3073.71,3062.35,3069.98,3787.1124
1763526600000.0,3069.98,3070.13,3058.01,3059.99,3883.9723
1763527500000.0,3060.0,3064.4,3045.81,3048.57,7107.2479
1763528400000.0,3048.57,3052.67,3036.27,3039.24,5568.678
1763529300000.0,3039.24,3045.16,3024.16,3025.93,11875.3064
